Country,Year,Gross.capital.formation,Gross.operating.surplus.and.mixed.income,Subsidies_received,Taxes.on.production.and.imports_paid,investment_gross_operating_surplus_ratio_after_tax
Slovenia,1997,2186.0608,2155.3909,174.3593,165.6586,1.0101516959818153
Slovenia,1998,2567.6124,2469.6308,197.6028,219.2487,1.0488677442413963
Slovenia,1999,3115.8844,2967.8236,215.3462,247.3702,1.0613409716385271
Slovenia,2000,3522.8152,3135.1303,207.4655,315.4065,1.163724779286185
Slovenia,2001,3499.1789,3572.499,222.5086,383.9001,1.0258190045315194
Slovenia,2002,3830.8,4064.6056,269.3119,436.4575,0.9828965531397372
Slovenia,2003,4527.5737,4758.005,305.0055,523.6285,0.9973986987656027
Slovenia,2004,5224.5227,5098.8023,308.0936,576.9111,1.081685122487342
Slovenia,2005,5447.4884,5302.0076,305.4153,618.6368,1.0919466761663725
Slovenia,2006,6229.7691,6134.4784,335.6878,580.4489,1.0577365232793094
Slovenia,2007,7719.0238,7248.6604,384.5745,560.9336,1.0914444213512229
Slovenia,2008,8144.6965,7768.5253,429.3351,460.5337,1.0526499417427986
Slovenia,2009,4794.4916,6733.0023,515.2235,297.5495,0.6897877836722163
Slovenia,2010,4625.9629,6616.8738,564.883,350.9251,0.6772181050808206
Slovenia,2011,4985.443,6857.9273,312.6116,360.033,0.7320224184814229
Slovenia,2012,3988.9021,6551.3979,281.0851,384.5379,0.6186315233980513
Slovenia,2013,4191.6177,6743.8916,347.6016,431.2499,0.6293490359428761
Slovenia,2014,4083.2009,7339.9589,282.168,432.0196,0.567891511160063
Slovenia,2015,4431.6298,7693.7062,244.1105,421.3528,0.5895897138546757
Spain,1999,91864,120577,3976,3932,0.76159209424561225
Spain,2000,100901,131744,3929,4126,0.767033835815336
Spain,2001,107062,142560,3897,4405,0.7536817503449441
Spain,2002,112014,152508,4375,4601,0.7355695354670939
Spain,2003,122665,160725,4635,4585,0.7629606593064843
Spain,2004,136873,172440,4677,4954,0.7950198358532321
Spain,2005,153508,186364,4992,5434,0.8256580716644615
Spain,2006,176984,204169,6884,5937,0.8628483394761989
Spain,2007,189551,236236,8223,6138,0.7953600396104413
Spain,2008,186682,265621,8256,7167,0.6999437591391399
Spain,2009,139352,268601,8296,7615,0.5174946710140299
Spain,2010,139520,254901,8452,7687,0.5457119836036078
Spain,2011,141893,249304,8534,8242,0.5684906809403997
Spain,2012,142543,248950,7323,10521,0.5800278329372701
Spain,2013,142471,245156,6458,10028,0.5897320208952506
Spain,2014,150328,250367,6351,11101,0.6120423260604926
Spain,2015,159026,258892,5976,11854,0.6285264847004514
Sweden,1995,262242,507200,46216,99166,0.5773076499724821
Sweden,1996,266859,472411,41468,119445,0.6765618582576552
Sweden,1997,285617,502322,37155,122917,0.6856563280199731
Sweden,1998,319410,517181,30326,163887,0.8326208226891194
Sweden,1999,340959,546723,28072,173877,0.8504457270564055
Sweden,2000,396122,572924,24157,171147,0.9300079355017444
Sweden,2001,405784,559412,22342,180204,1.0105441414518739
Sweden,2002,385404,576065,24107,185694,0.9298539367590077
Sweden,2003,395896,617629,24687,187743,0.870918422343606
Sweden,2004,409459,683054,23748,191063,0.7939267730383004
Sweden,2005,437153,708667,27552,198849,0.8135046615925712
Sweden,2006,488563,795233,30430,207423,0.7902481237060042
Sweden,2007,566771,822386,29704,221443,0.8987135433927379
Sweden,2008,579591,820254,30592,236154,0.9428966051290728
Sweden,2009,445462,737970,31598,220395,0.8111505846063081
Sweden,2010,538346,873175,35071,230618,0.7944565454792305
Sweden,2011,600913,892412,38467,241350,0.8714832878675154
Sweden,2012,571205,847169,39876,252904,0.9007539332735148
Sweden,2013,583365,859550,40029,260037,0.9121605774132113
Sweden,2014,644623,924993,41901,267209,0.9213045870641788
Sweden,2015,719580,1004183,40804,284787,0.9465666929755328
Sweden,2016,751105,1012737,42814,316302,1.0160378979207276
Switzerland,1995,67469.2288,98843.0696,6702.5343,803.3468,0.6441452635070244
Switzerland,1996,67320.9053,99860.8386,6416.189,801.8976,0.6382633071890975
Switzerland,1997,66182.7974,105343.9972,7566.9124,836.9812,0.5905280411318213
Switzerland,1998,70349.7995,110549.4654,6792.8555,855.8538,0.6039310938978593
Switzerland,1999,71607.3846,107727.1604,6791.0852,900.3747,0.6302475484954718
Switzerland,2000,81026.2312,113816.6175,6915.9895,1103.6368,0.6773127868988377
Switzerland,2001,79915.3591,110096.1067,7432.6602,1427.7905,0.6883263309058614
Switzerland,2002,75522.3258,102838.2691,7613.5604,1589.9927,0.6937447320381792
Switzerland,2003,73297.917,106837.7846,7855.3493,1594.6332,0.6480892014159123
Switzerland,2004,75750.3629,117382.007,6724.3939,1635.0614,0.6185150191812836
Switzerland,2005,79993.4262,125328.2176,7022.5651,2010.3205,0.6137267341990444
Switzerland,2006,89445.9983,140848.2003,7311.5541,2052.6251,0.6121946186235828
Switzerland,2007,98053.1356,156111.1518,7505.004,2122.8808,0.6071654414092477
Switzerland,2008,101058.6579,157404.5797,5278.307,2370.8341,0.6303871496933227
Switzerland,2009,88645.2881,140936.5564,5716.431,2418.6967,0.614592325235458
Switzerland,2010,94782.6636,155904.5701,5979.0585,2832.6088,0.5959261607953549
Switzerland,2011,104150.5676,154007.4922,6190.5287,2769.582,0.661574035337779
Switzerland,2012,104004.8536,151394.7031,6699.4357,2869.889,0.6700296747061488
Switzerland,2013,113188.7299,151160.3543,5430.5932,2945.901,0.7366897435251842
Switzerland,2014,110669.9144,152089.1313,5554.3207,3009.4388,0.715689337098573
Switzerland,2015,104841.4969,148845.7031,5729.0117,3047.2282,0.6918975510810063
United Kingdom,1995,106452,199682,765,13429,0.5692072420836497
United Kingdom,1996,117763,223261,728,14992,0.5634674181926056
United Kingdom,1997,116264,229911,744,14632,0.5382019507182105
United Kingdom,1998,127352,225585,811,15164,0.6029010755946069
United Kingdom,1999,125187,218280,663,16006,0.6168761733937134
United Kingdom,2000,135356,223474,575,17118,0.6541117570591163
United Kingdom,2001,132062,217451,673,17356,0.657784109021358
United Kingdom,2002,130842,237417,901,18271,0.5946093334605789
United Kingdom,2003,124372,259184,1271,18373,0.5137598003982122
United Kingdom,2004,120030,273668,1213,18695,0.4685267735161172
United Kingdom,2005,144999,303156,2040,19533,0.5075876119763497
United Kingdom,2006,143799,313864,2636,20622,0.48600774643603106
United Kingdom,2007,155010,330126,3142,21403,0.4970419893223029
United Kingdom,2008,147672,336167,3329,22932,0.4664838705601395
United Kingdom,2009,113399,322171,3069,24151,0.376629501575946
United Kingdom,2010,136951,323879,2228,27969,0.4593543929321321
United Kingdom,2011,142242,341559,1693,25676,0.4478990855732171
United Kingdom,2012,153130,345502,1993,27136,0.4779949993600929
United Kingdom,2013,165103,364980,2329,28318,0.48704242885504334
United Kingdom,2014,178201,394289,2684,28941,0.48419974350056516
United Kingdom,2015,184527,397291,3126,30348,0.4986286341195831
United Kingdom,2016,198883,404751,4156,30899,0.5261343675266132
United States,1970,102165.7,157379.63,658,57623,1.0174383951820565
United States,1971,108795.8,176542.14,785,63590,0.9565547366497873
United States,1972,123887.2,198230.3,1086,68376,0.946134994344751
United States,1973,150134,220157.69,1036,75161,1.0280848760643935
United States,1974,172578.5,234214.19,773,79397,1.1091862539662687
United States,1975,153931.8,273056.2,1300,85798,0.8163622690500862
United States,1976,196105,314806.79,1299,92712,0.8778444557478523
United States,1977,230081.7,362267.92,1567,101585,0.8773375412278487
United States,1978,282162.6,416186.35,1583,110285,0.9176486543136261
United States,1979,323548.9,448295.66,1668,116677,0.9707826289837105
United States,1980,337850.4,474260.52,1712,130286,0.9773317166084463
United States,1981,407569.7,564077.11,1788,156192,0.9948656381181572
United States,1982,379206.7,587470.83,1778,163079,0.8898018426128382
United States,1983,403936.2,648917.54,2055,179494,0.8567435540120235
United States,1984,527558.9,745889.6,2172,197793,0.9587297912328635
United States,1985,521312,790245.15,1775,210824,0.8969639595857611
United States,1986,512910.6,780712.96,1885,221508,0.9141325572819018
United States,1987,534877.2,834431.8,2892,236258,0.8898812742298762
United States,1988,567004.5,912165.67,2864,254878,0.8589003493697137
United States,1989,615896,958548.81,2198,269742,0.8913049389627258
United States,1990,640548.8,971296.03,2002,286471,0.9326202552045746
United States,1991,618553.1,996920.14,1963,309899,0.8977755278953156
United States,1992,649944.3,1025495.85,2594,328489,0.9290215985300763
United States,1993,709704.4,1089239.19,2036.373,345794.373,0.952008460468332
United States,1994,796798.4,1217537.49,1945.143,378053.143,0.9469580154600951
United States,1995,867864.3,1336764.87,2175.552,386926.552,0.9116088823369768
United States,1996,927271.9,1454117.17,1977.014,400393.014,0.8783469473657968
United States,1997,1051068.512,1588714.2,2343.382,419272.382,0.8969805319268414
United States,1998,1123737.893,1638470.62,2471.589,433246.589,0.9304810536615177
United States,1999,1215472.142,1709626.08,3578.078,457587.078,0.9680277222734179
United States,2000,1313098.141,1769867.06,3867.999,483673.999,1.0178573570773464
United States,2001,1187079.858,1763120.53,16033.052,492319.052,0.9224805756494582
United States,2002,1127767.693,1870985.54,4214.133,510536.133,0.8264071398873893
United States,2003,1148644.319,2000260.38,6727.415,539350.415,0.7826485851702687
United States,2004,1252586.388,2183430.5,4874.472,576349.472,0.7770601533354984
United States,2005,1385615.562,2449594.31,6707.036,623245.036,0.7559045264681474
United States,2006,1534947.343,2715106.97,5494.714,661306.714,0.7453751722610191
United States,2007,1618714.201,2643472.1,4867.995,686030.995,0.8249027642994673
United States,2008,1571974.028,2497202.03,5182.767,690200.767,0.8674472360293343
United States,2009,1205255.749,2585985.29,8804.069,668106.069,0.6255598702991815
United States,2010,1435570.215,2872648.27,8232.018,694093.018,0.6564745618809095
United States,2011,1534808.261,2980221.76,8674.79,730615.79,0.6796357158885772
United States,2012,1711563.69,3245074.42,8152.804,750197.921,0.6837969047939668
United States,2013,1801011.75,3338315.941,7228.554,782522.313,0.7026906605211738
United States,2014,1921257.532,3564796.017,6932.329,809281.182,0.695491141708584
United States,2015,1994393.237,3583720.371,6608.802,830738.882,0.7227135287091064
