"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2000"",""2000"",""EUR"",""Euro"",""6"",""Millions"",,,51526.2,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2001"",""2001"",""EUR"",""Euro"",""6"",""Millions"",,,54016.8,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2002"",""2002"",""EUR"",""Euro"",""6"",""Millions"",,,56342.5,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2003"",""2003"",""EUR"",""Euro"",""6"",""Millions"",,,57813.2,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2004"",""2004"",""EUR"",""Euro"",""6"",""Millions"",,,62745.3,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2005"",""2005"",""EUR"",""Euro"",""6"",""Millions"",,,66647.2,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2006"",""2006"",""EUR"",""Euro"",""6"",""Millions"",,,72450.8,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2007"",""2007"",""EUR"",""Euro"",""6"",""Millions"",,,78225,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2008"",""2008"",""EUR"",""Euro"",""6"",""Millions"",,,77565.2,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2009"",""2009"",""EUR"",""Euro"",""6"",""Millions"",,,70624.1,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2010"",""2010"",""EUR"",""Euro"",""6"",""Millions"",,,73265.7,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2011"",""2011"",""EUR"",""Euro"",""6"",""Millions"",,,77357.3,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2012"",""2012"",""EUR"",""Euro"",""6"",""Millions"",,,76654.2,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2013"",""2013"",""EUR"",""Euro"",""6"",""Millions"",,,76044.1,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2014"",""2014"",""EUR"",""Euro"",""6"",""Millions"",,,77761.3,,"
"AUT,""Austria"",""SB2G_B3G"",""Operating surplus and mixed income";" gross"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2015"",""2015"",""EUR"",""Euro"",""6"",""Millions"",,,79403.4,,"
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""1995"",""1995"",""EUR"",""Euro"",""6"",""Millions"",,,-4348.9,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""1996"",""1996"",""EUR"",""Euro"",""6"",""Millions"",,,-5390.6,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""1997"",""1997"",""EUR"",""Euro"",""6"",""Millions"",,,-6842.5,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""1998"",""1998"",""EUR"",""Euro"",""6"",""Millions"",,,-6275.2,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""1999"",""1999"",""EUR"",""Euro"",""6"",""Millions"",,,-8655.6,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2000"",""2000"",""EUR"",""Euro"",""6"",""Millions"",,,-10754.7,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2001"",""2001"",""EUR"",""Euro"",""6"",""Millions"",,,-8595.7,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2002"",""2002"",""EUR"",""Euro"",""6"",""Millions"",,,-1911.4,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2003"",""2003"",""EUR"",""Euro"",""6"",""Millions"",,,-3255.6,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2004"",""2004"",""EUR"",""Euro"",""6"",""Millions"",,,5500.6,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2005"",""2005"",""EUR"",""Euro"",""6"",""Millions"",,,-2246.6,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2006"",""2006"",""EUR"",""Euro"",""6"",""Millions"",,,-1433.8,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2007"",""2007"",""EUR"",""Euro"",""6"",""Millions"",,,-4246.4,,";
"AUT,""Austria"",""SB9"",""Net lending - net borrowing"",""SS11_S12"",""Corporations"",""C"",""Current prices"",""2008"",""2008"",""EUR"",""Euro"",""6"",""Millions"",,,-357.4,,";
