"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1951","1951","EUR","Euro","6","Millions",,,2634,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1952","1952","EUR","Euro","6","Millions",,,2814,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1953","1953","EUR","Euro","6","Millions",,,2579,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1954","1954","EUR","Euro","6","Millions",,,2658,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1955","1955","EUR","Euro","6","Millions",,,2957,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1956","1956","EUR","Euro","6","Millions",,,3407,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1957","1957","EUR","Euro","6","Millions",,,4108,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1958","1958","EUR","Euro","6","Millions",,,5235,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1959","1959","EUR","Euro","6","Millions",,,4946,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1960","1960","EUR","Euro","6","Millions",,,6023,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1961","1961","EUR","Euro","6","Millions",,,6436,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1962","1962","EUR","Euro","6","Millions",,,7304,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1963","1963","EUR","Euro","6","Millions",,,7997,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1964","1964","EUR","Euro","6","Millions",,,9182,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1965","1965","EUR","Euro","6","Millions",,,9241,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1966","1966","EUR","Euro","6","Millions",,,10466,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1967","1967","EUR","Euro","6","Millions",,,11377,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1968","1968","EUR","Euro","6","Millions",,,11540,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1969","1969","EUR","Euro","6","Millions",,,15056,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,16961,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,18019,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,19739,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,24026,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,29247,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,24387,,
